,L'Aquila,Teramo,Pescara,Chieti,Potenza,Matera,Cosenza,Catanzaro,Reggio di Calabria,Crotone,Vibo Valentia,Caserta,Benevento,Napoli,Avellino,Salerno,Piacenza,Parma,Reggio nell'Emilia,Modena,Bologna,Ferrara,Ravenna,Forlì-Cesena,Rimini,Udine,Gorizia,Trieste,Pordenone,Viterbo,Rieti,Roma,Latina,Frosinone,Imperia,Genova,Savona,La Spezia,Varese,Como,Sondrio,Milano,Bergamo,Brescia,Pavia,Cremona,Mantova,Lecco,Lodi,Monza e della Brianza,Pesaro e Urbino,Ancona,Macerata,Ascoli Piceno,Fermo,Campobasso,Isernia,Trento,Bolzano,Torino,Vercelli,Novara,Cuneo,Asti,Alessandria,Biella,Verbano-Cusio-Ossola,Foggia,Bari,Taranto,Brindisi,Lecce,Barletta-Andria-Trani,Sassari,Nuoro,Cagliari,Oristano,Sud Sardegna,Trapani,Palermo,Messina,Agrigento,Caltanissetta,Enna,Catania,Ragusa,Siracusa,Massa Carrara,Lucca,Pistoia,Firenze,Livorno,Pisa,Arezzo,Siena,Grosseto,Prato,Perugia,Terni,Aosta,Verona,Vicenza,Belluno,Treviso,Venezia,Padova,Rovigo
01/03/2020,0,5,0,0,0,0,1,0,0,0,0,0,0,17,0,0,174,59,7,24,2,0,2,1,16,0,0,6,0,0,0,6,0,0,1,1,19,1,4,2,3,46,209,49,78,214,4,2,344,6,24,1,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,1,1,5,0,0,0,3,0,0,2,0,0,2,3,0,43,24,105,0
02/03/2020,0,5,0,0,0,0,1,0,0,0,0,0,0,17,0,0,212,61,8,29,3,0,2,1,19,0,0,9,0,0,0,7,0,0,1,1,16,1,4,2,3,58,243,60,83,223,5,3,384,8,33,2,0,0,0,0,0,0,1,6,1,3,0,37,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,1,1,4,0,0,1,3,0,0,1,1,0,8,3,3,72,48,135,0
03/03/2020,1,3,1,0,1,0,1,0,0,0,0,0,0,30,0,0,256,84,14,33,6,0,2,1,24,8,3,2,0,0,0,14,0,0,2,1,20,1,7,4,3,93,372,86,122,287,15,4,482,9,55,5,1,0,0,3,0,4,1,7,1,3,0,40,1,0,4,1,2,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,3,3,1,7,0,0,2,3,0,0,1,1,0,17,5,5,82,48,144,1
04/03/2020,1,3,1,0,1,0,1,0,0,0,0,0,0,17,0,0,319,115,20,41,11,0,2,2,33,8,5,5,0,0,0,29,0,1,2,1,19,1,11,5,4,145,423,127,126,333,22,5,559,11,72,9,2,0,1,3,0,5,1,11,3,3,0,41,16,0,5,2,2,3,0,1,1,0,0,2,0,0,0,3,0,0,0,0,1,0,0,4,3,1,12,3,2,2,10,0,1,6,3,0,21,10,7,86,59,162,4
05/03/2020,1,4,1,2,1,0,1,1,0,0,0,0,0,17,0,0,378,150,31,45,19,0,3,4,68,11,5,5,0,0,0,42,0,1,2,1,20,1,17,11,4,197,537,155,151,406,26,8,658,19,100,19,2,0,3,7,0,7,1,19,8,3,0,43,22,2,5,7,2,3,0,1,1,0,0,2,0,0,0,3,0,0,0,0,1,0,0,6,6,1,20,3,5,5,12,2,1,6,3,2,25,19,7,89,73,175,5
06/03/2020,1,4,1,3,2,1,1,2,1,0,0,0,0,17,0,0,426,181,44,73,41,1,8,3,93,18,6,7,0,2,0,49,2,1,3,9,15,1,23,11,4,267,623,182,180,452,32,11,739,20,126,23,7,0,3,12,0,10,4,34,7,4,1,47,32,3,9,7,3,3,0,3,1,0,2,3,0,0,0,5,0,0,0,1,15,1,2,10,8,1,23,5,8,7,14,2,1,10,6,7,42,24,7,103,85,198,5
07/03/2020,1,4,2,4,2,1,1,2,1,0,0,0,0,17,0,0,479,229,48,82,49,2,10,7,104,23,6,11,2,2,0,71,2,1,7,15,19,5,27,23,6,361,761,413,221,562,46,35,811,61,159,38,7,0,3,14,0,14,9,55,10,5,1,50,40,6,10,9,5,3,3,4,2,0,2,3,0,0,0,6,2,1,0,0,23,1,2,16,15,6,27,6,11,8,19,2,3,15,9,8,52,37,11,110,100,216,5
08/03/2020,1,4,8,4,2,2,1,2,1,0,0,28,4,45,3,15,528,276,70,97,62,6,13,15,113,24,6,25,2,2,0,77,6,2,10,25,25,11,32,27,6,406,997,501,243,665,56,53,853,59,204,54,9,0,5,14,0,23,9,89,15,13,5,58,60,19,13,16,5,3,3,10,3,0,2,9,0,0,0,6,2,1,0,0,23,1,2,21,26,13,39,10,17,9,24,4,3,15,11,9,63,50,23,126,126,255,5
09/03/2020,5,4,14,7,2,3,4,3,2,0,2,32,4,55,3,17,602,279,103,116,80,7,19,16,164,24,6,25,2,2,0,91,6,2,11,38,35,15,44,40,7,506,1245,739,296,916,102,66,928,64,246,63,9,0,5,14,0,33,9,87,11,14,11,58,63,18,11,23,6,3,5,10,3,1,3,14,1,0,0,6,2,1,0,0,23,1,2,28,31,16,51,10,20,12,29,6,5,12,16,15,73,53,29,136,130,273,7
10/03/2020,6,5,18,9,4,3,6,3,3,0,1,34,4,61,3,17,633,325,104,127,86,8,24,20,206,26,10,53,4,5,1,76,11,6,15,42,38,15,50,46,7,592,1472,790,324,957,119,89,963,65,296,81,11,0,6,15,0,52,38,111,18,22,14,58,65,20,11,23,15,3,5,10,3,1,3,15,1,0,0,10,2,11,0,1,35,1,2,37,37,21,61,14,31,13,33,10,7,13,24,17,96,73,29,158,152,296,10
11/03/2020,6,5,18,9,5,3,5,2,6,1,5,26,2,96,7,17,664,378,114,163,108,12,31,24,245,44,12,57,13,10,3,99,11,8,18,63,42,19,75,77,13,925,1815,1351,403,1061,137,113,1035,85,342,110,17,1,8,16,0,77,75,159,24,27,17,68,105,36,13,24,18,4,15,12,4,2,18,15,2,0,2,15,4,16,0,1,41,1,3,40,43,32,71,16,34,14,37,12,21,26,18,20,110,92,30,185,179,373,14
12/03/2020,8,8,48,20,5,3,8,3,11,6,5,29,3,109,12,18,679,430,123,190,122,17,41,33,312,44,12,57,13,5,2,162,11,18,32,92,52,26,98,98,23,1146,2136,1598,468,1302,169,199,1123,130,403,142,32,1,11,16,0,107,104,187,25,32,24,69,132,39,18,33,25,6,16,18,6,4,18,11,2,4,4,26,9,17,2,1,49,2,5,40,49,43,86,16,34,14,41,16,25,37,25,27,150,122,48,279,205,439,13
13/03/2020,9,9,48,23,7,3,10,3,13,7,5,38,3,140,14,20,710,518,138,251,155,24,55,49,363,75,20,131,31,10,3,218,15,28,41,128,62,37,125,118,23,1307,2368,1784,482,1344,187,237,1133,143,496,158,48,2,16,17,0,163,125,305,29,48,40,70,136,48,29,34,38,8,20,19,10,4,18,15,2,4,4,26,9,17,2,1,49,2,5,65,79,48,101,27,51,16,41,16,26,47,29,28,210,141,59,327,248,523,16
