,Casi,Tamponi,Ospedalizzati,TI,Deceduti
01/03/2020,1694,21127,639,140,34
02/03/2020,2036,23345,742,166,52
03/03/2020,2502,25856,1034,229,79
04/03/2020,3089,29837,1346,295,107
05/03/2020,3858,32362,1790,351,148
06/03/2020,4636,36359,2394,462,197
07/03/2020,5883,42062,2651,567,233
08/03/2020,7375,49937,3557,650,366
09/03/2020,9172,53826,4316,733,463
10/03/2020,10149,60761,5038,877,631
11/03/2020,12462,73154,5838,1028,827
12/03/2020,15113,86011,6650,1153,1016
13/03/2020,17660,97488,7426,1328,1266
14/03/2020,21157,109170,8372,1518,1441
15/03/2020,24747,124899,9663,1672,1809
16/03/2020,27980,137962,11025,1851,2158
17/03/2020,31506,148657,12894,2060,2503
18/03/2020,35713,165541,14363,2257,2978
19/03/2020,41035,182777,15757,2498,3405
20/03/2020,47021,206886,16020,2655,4032
21/03/2020,53578,233222,17708,2857,4825
22/03/2020,59138,258402,19846,3009,5476
23/03/2020,63927,275468,20692,3204,6077
24/03/2020,69176,296964,21937,3396,6820
25/03/2020,74386,324445,23112,3489,7503
26/03/2020,80539,361060,24753,3612,8165
27/03/2020,86498,394079,26029,3732,9134
28/03/2020,92472,429526,26676,3856,10023
29/03/2020,97689,454030,27386,3906,10779
30/03/2020,101739,477359,27795,3981,11591
31/03/2020,105792,506968,28192,4023,12428
01/04/2020,110574,541423,28403,4035,13155
02/04/2020,115242,581232,28540,4053,13915
03/04/2020,119827,619849,28741,4068,14681
04/04/2020,124632,657224,29010,3994,15362
05/04/2020,128948,691461,28949,3977,15887
06/04/2020,132547,721732,28976,3898,16523
07/04/2020,135586,755445,28718,3792,17127
08/04/2020,139422,807125,28485,3693,17669
09/04/2020,143626,853369,28399,3605,18279
10/04/2020,147577,906864,28242,3497,18849
11/04/2020,152271,963473,28144,3381,19468
12/04/2020,156363,1010193,27847,3343,19899
13/04/2020,159516,1046910,28023,3260,20465
14/04/2020,162488,1073689,28011,3186,21067
15/04/2020,165155,1117404,27643,3079,21645
16/04/2020,168941,1178403,26893,2936,22170
17/04/2020,172434,1244108,25786,2812,22745
18/04/2020,175925,1305833,25007,2733,23227
19/04/2020,178972,1356541,25033,2635,23660
20/04/2020,181228,1398024,24906,2573,24114
21/04/2020,183957,1450150,24134,2471,24648
22/04/2020,187327,1513251,23805,2384,25085
23/04/2020,189973,1579909,22871,2267,25549
24/04/2020,192994,1642356,22068,2173,25969
25/04/2020,195351,1707743,21533,2102,26384
26/04/2020,197675,1757659,21372,2009,26644
27/04/2020,199414,1789662,20353,1956,26977
28/04/2020,201505,1846934,19723,1863,27359
29/04/2020,203591,1910761,19210,1795,27682
30/04/2020,205463,1979217,18149,1694,27967
01/05/2020,207428,2053425,17569,1578,28236
02/05/2020,209328,2108837,17357,1539,28710
03/05/2020,210717,2153772,17242,1501,28884
04/05/2020,211938,2191403,16823,1479,29079
05/05/2020,213013,2246666,16270,1427,29315
06/05/2020,214457,2310929,15769,1333,29684
07/05/2020,215858,2381288,15174,1311,29958
08/05/2020,217185,2445063,14636,1168,30201
09/05/2020,218268,2514234,13834,1034,30395
10/05/2020,219070,2565912,13618,1027,30560
11/05/2020,219814,2606652,13539,999,30739
12/05/2020,221216,2673655,12865,952,30911
13/05/2020,222104,2735628,12172,893,31106
14/05/2020,223096,2807504,11453,855,31368
15/05/2020,223885,2875680,10792,808,31610
16/05/2020,224760,2944859,10400,775,31763
17/05/2020,225435,3004960,10311,762,31908
18/05/2020,225886,3041366,10207,749,32007
19/05/2020,226699,3104524,9991,716,32169
20/05/2020,227364,3171719,9624,676,32330
21/05/2020,228006,3243398,9269,640,32486
22/05/2020,228658,3318778,8957,595,32616
23/05/2020,229327,3391188,8695,572,32735
24/05/2020,229858,3447012,8613,553,32785
25/05/2020,230158,3482253,8185,541,32877
26/05/2020,230555,3539927,7917,521,32955
27/05/2020,231139,3607251,7729,505,33072
28/05/2020,231732,3683144,7379,489,33142
29/05/2020,232248,3755279,7094,475,33229
30/05/2020,232664,3824621,6680,450,33340
31/05/2020,233019,3878739,6387,435,33415
01/06/2020,233197,3910133,6099,424,33475
02/06/2020,233515,3962292,5916,408,33530
03/06/2020,233836,3999591,5742,353,33601
04/06/2020,234013,4049544,5503,338,33689
05/06/2020,234531,4114572,5301,316,33774
06/06/2020,234801,4187057,5002,293,33846
07/06/2020,234998,4236535,4864,287,33899
08/06/2020,235278,4263647,4729,283,33964
09/06/2020,235561,4318650,4581,263,34043
10/06/2020,235763,4381349,4320,249,34114
11/06/2020,236142,4443821,4131,236,34167
12/06/2020,236305,4514441,3893,227,34223
13/06/2020,236651,4564191,3747,220,34301
14/06/2020,236989,4620718,3594,209,34345
15/06/2020,237290,4648825,3489,207,34371
16/06/2020,237500,4695707,3301,177,34405
17/06/2020,237828,4773408,3113,163,34448
18/06/2020,238159,4831562,2867,168,34514
19/06/2020,238011,4889103,2632,161,34561
20/06/2020,238275,4943825,2474,152,34610
21/06/2020,238499,4984370,2314,148,34634
22/06/2020,238720,5013342,2038,127,34657
23/06/2020,238833,5053827,1853,115,34675
24/06/2020,239410,5107093,1610,107,34644
25/06/2020,239706,5163154,1515,103,34678
26/06/2020,239961,5215922,1356,105,34708
27/06/2020,240136,5277273,1260,97,34716
28/06/2020,240310,5314619,1160,98,34738
29/06/2020,240436,5341837,1120,96,34744
30/06/2020,240578,5390110,1090,93,34767
01/07/2020,240760,5445476,1025,87,34788
02/07/2020,240961,5498719,963,82,34818
03/07/2020,241184,5548815,956,79,34833
04/07/2020,241419,5600826,940,71,34854
05/07/2020,241611,5638288,945,74,34861
06/07/2020,241819,5660454,946,72,34869
07/07/2020,241956,5703673,940,70,34899
08/07/2020,242149,5754116,899,71,34914
09/07/2020,242363,5806668,871,69,34926
10/07/2020,242639,5854621,844,65,34938
11/07/2020,242827,5900552,826,67,34945
12/07/2020,243061,5938811,776,68,34954
13/07/2020,243230,5962744,768,65,34967
14/07/2020,243344,6004611,777,60,34984
15/07/2020,243506,6053060,797,57,34997
16/07/2020,243736,6103492,750,53,35017
17/07/2020,243967,6154259,771,50,35028
18/07/2020,244216,6202524,757,50,35042
19/07/2020,244434,6238049,743,49,35045
20/07/2020,244624,6262302,745,47,35058
21/07/2020,244752,6305412,732,49,35073
22/07/2020,245032,6354730,724,48,35082
23/07/2020,245338,6415041,713,49,35092
24/07/2020,245590,6468375,713,46,35097
25/07/2020,245864,6520046,731,41,35102
26/07/2020,246118,6560572,735,44,35107
27/07/2020,246286,6586123,740,45,35112
28/07/2020,246488,6634293,749,40,35123
29/07/2020,246776,6690311,731,38,35129
30/07/2020,247158,6752169,748,47,35132
31/07/2020,247537,6813113,716,41,35141
01/08/2020,247832,6873496,705,43,35146
02/08/2020,248070,6916765,708,42,35154
03/08/2020,248229,6940801,734,41,35166
04/08/2020,248419,6984589,761,41,35171
05/08/2020,248803,7041040,764,41,35181
06/08/2020,249204,7099713,762,42,35187
07/08/2020,249756,7158909,779,42,35190
08/08/2020,250103,7212207,771,43,35203
09/08/2020,250566,7249844,763,45,35205
10/08/2020,250825,7276276,779,46,35209
11/08/2020,251237,7316918,801,49,35215
12/08/2020,251713,7369576,779,53,35225
13/08/2020,252235,7420764,786,55,35231
14/08/2020,252809,7467487,771,56,35234
15/08/2020,253438,7520610,764,55,35392
16/08/2020,253915,7557417,787,56,35396
17/08/2020,254235,7588083,810,58,35400
18/08/2020,254636,7642059,843,58,35405
19/08/2020,255278,7713154,866,66,35412
20/08/2020,256118,7790596,883,68,35418
21/08/2020,257065,7862592,919,69,35427
22/08/2020,258136,7940266,924,64,35430
23/08/2020,259345,8007637,971,69,35437
24/08/2020,260298,8053551,1045,65,35441
25/08/2020,261174,8125892,1058,66,35445
26/08/2020,262540,8219421,1055,69,35458
27/08/2020,263949,8313445,1131,67,35463
28/08/2020,265409,8410510,1178,74,35472
29/08/2020,266853,8509618,1168,79,35473
30/08/2020,268218,8586341,1251,86,35477
31/08/2020,269214,8644859,1288,94,35483
01/09/2020,270189,8725909,1380,107,35491
02/09/2020,271515,8828868,1437,109,35497
03/09/2020,272912,8921658,1505,120,35507
04/09/2020,274644,9034743,1607,121,35518
05/09/2020,276337,9142401,1620,121,35533
06/09/2020,277634,9219257,1683,133,35541
07/09/2020,278784,9271810,1719,142,35553
08/09/2020,280153,9364213,1760,143,35563
09/09/2020,281583,9460203,1778,150,35577
10/09/2020,283180,9554389,1836,164,35587
11/09/2020,284796,9653269,1849,175,35597
12/09/2020,286297,9745975,1951,182,35603
13/09/2020,287753,9818118,2042,187,35610
14/09/2020,288761,9863427,2122,197,35624
15/09/2020,289990,9943944,2222,201,35633
16/09/2020,291442,10044551,2285,207,35645
17/09/2020,293025,10146324,2348,212,35658
18/09/2020,294932,10246163,2387,208,35668
19/09/2020,296569,10349386,2380,215,35692
20/09/2020,298156,10432814,2365,222,35707
21/09/2020,299506,10488676,2475,232,35724
22/09/2020,300897,10575979,2604,239,35738
23/09/2020,302537,10679675,2658,244,35758
24/09/2020,304323,10787694,2731,246,35781
25/09/2020,306235,10894963,2737,244,35801
26/09/2020,308104,10999350,2746,247,35818
27/09/2020,309870,11087064,2846,254,35835
28/09/2020,311364,11138173,2977,264,35851
29/09/2020,313011,11228358,3048,271,35875
30/09/2020,314861,11333922,3047,280,35894
01/10/2020,317409,11452158,3097,291,35918
02/10/2020,319908,11572459,3142,294,35941
03/10/2020,322751,11691391,3205,297,35968
04/10/2020,325329,11784105,3287,303,35986
05/10/2020,327586,11844346,3487,323,36002
06/10/2020,330263,11944088,3625,319,36030
07/10/2020,333940,12069402,3782,337,36061
08/10/2020,338398,12197500,3925,358,36083
09/10/2020,343770,12326971,4086,387,36111
10/10/2020,349494,12460055,4336,390,36140
11/10/2020,354950,12564713,4519,420,36166
12/10/2020,359569,12650155,4821,452,36205
13/10/2020,365467,12762699,5076,514,36246
14/10/2020,372799,12914895,5470,539,36289
15/10/2020,381602,13077827,5796,586,36372
16/10/2020,391611,13228204,6178,638,36427
17/10/2020,402536,13394041,6617,705,36474
18/10/2020,414241,13540582,7131,750,36543
19/10/2020,423578,13639444,7676,797,36616
20/10/2020,434449,13784181,8454,870,36705
21/10/2020,449648,13962029,9057,926,36832
22/10/2020,465726,14132421,9694,992,36968
23/10/2020,484869,14314453,10549,1049,37059
24/10/2020,504509,14492122,11287,1128,37210
25/10/2020,525782,14654002,12006,1208,37338
26/10/2020,542789,14778688,12997,1284,37479
27/10/2020,564778,14953086,13955,1411,37700
28/10/2020,589766,15152038,14981,1536,37905
29/10/2020,616595,15353490,15964,1651,38122
30/10/2020,647674,15568575,16994,1746,38321
31/10/2020,679430,15784461,17966,1843,38618
01/11/2020,709335,15967918,18902,1939,38826
02/11/2020,731588,16103649,19840,2022,39059
03/11/2020,759829,16285936,21114,2225,39412
04/11/2020,790377,16497767,22116,2292,39747
05/11/2020,824879,16717651,23256,2391,40192
06/11/2020,862681,16951896,24005,2515,40638
07/11/2020,902490,17183569,25109,2634,41063
08/11/2020,935104,17374713,26440,2749,41394
09/11/2020,960373,17522438,27636,2849,41750
10/11/2020,995463,17740196,28633,2971,42330
11/11/2020,1028424,17965836,29444,3081,42953
12/11/2020,1066401,18200508,29873,3170,43589
13/11/2020,1107303,18455416,30914,3230,44139
14/11/2020,1144552,18683111,31398,3306,44683
15/11/2020,1178529,18878386,32047,3422,45229
16/11/2020,1205881,19031049,32536,3492,45733
17/11/2020,1238072,19239507,33074,3612,46464
18/11/2020,1272352,19474341,33504,3670,47217
19/11/2020,1308528,19724527,33610,3712,47870
20/11/2020,1345767,19962604,33957,3748,48569
21/11/2020,1380531,20199829,34063,3758,49261
22/11/2020,1408868,20388576,34279,3801,49823
23/11/2020,1431795,20537521,34697,3810,50453
24/11/2020,1455022,20726180,34577,3816,51306
